BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
OPS Printers,F7,,,JC69-04,BOX-CST LOCKING OPTION KIT UNIT,"0,01",JC69-04598A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,"6,2",JC69-04526A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX-MAIN,"6,4",JC69-04525A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,8,JC69-04524A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,"7,2",JC69-04523A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX-MAIN,"5,4",JC69-04521A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX-MAIN,10,JC69-04520A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"1,8",JC69-04513D,80,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX-PUNCH,"0,01",JC69-04513C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX-PUNCH,"7,4",JC69-04513B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,"BOX-PUNCH SL-HPU501T,CB,A,Flexo1(SW,Flex","1,8",JC69-04513A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-FINISHER,12,JC69-04476B,51,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-CABINET,"0,01",JC69-04473A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-NFC KIT UNIT,"0,01",JC69-04456A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,MASTER BOX-NFC KIT MASTER,"0,01",JC69-04455B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-NFC KIT MASTER,"0,01",JC69-04455A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
